engine,template,size,mode,query_id,repetition,time,status
virtuoso,minus,03,R,001,1,0.027854932937771082,200
virtuoso,minus,03,R,002,1,5.735144410980865,200
virtuoso,minus,03,R,003,1,0.3382094110129401,200
virtuoso,minus,03,R,004,1,0.17841569299343973,200
virtuoso,minus,03,R,005,1,1.0757717920932919,200
virtuoso,minus,03,R,006,1,0.4236531349597499,200
virtuoso,minus,03,R,007,1,0.1762868610676378,200
virtuoso,minus,03,R,008,1,0.026498837978579104,200
virtuoso,minus,03,R,009,1,4.658105832990259,200
virtuoso,minus,03,R,010,1,2.259054514928721,200
virtuoso,minus,03,R,011,1,0.021867881063371897,200
virtuoso,minus,03,R,012,1,0.0119714509928599,200
virtuoso,minus,03,R,013,1,0.8514074629638344,200
virtuoso,minus,03,R,014,1,0.012476662988774478,200
virtuoso,minus,03,R,015,1,0.014539740979671478,200
virtuoso,minus,03,R,016,1,8.241451191017404,200
virtuoso,minus,03,R,017,1,0.012460352969355881,200
virtuoso,minus,03,R,018,1,0.012955425074324012,200
virtuoso,minus,03,R,019,1,4.429100942914374,200
virtuoso,minus,03,R,020,1,0.012089794036000967,200
virtuoso,minus,03,R,021,1,0.13777025695890188,200
virtuoso,minus,03,R,022,1,0.012780916062183678,200
virtuoso,minus,03,R,023,1,0.0252403870690614,200
virtuoso,minus,03,R,024,1,0.015597134013660252,200
virtuoso,minus,03,R,025,1,0.02555789495818317,200
virtuoso,minus,03,R,026,1,0.02976213803049177,200
virtuoso,minus,03,R,027,1,0.014351525926031172,200
virtuoso,minus,03,R,028,1,0.012251107953488827,200
virtuoso,minus,03,R,029,1,0.032318777055479586,200
virtuoso,minus,03,R,030,1,2.8167358479695395,200
virtuoso,minus,03,R,031,1,0.013951061991974711,200
virtuoso,minus,03,R,032,1,0.014456204022280872,200
virtuoso,minus,03,R,033,1,0.035361551912501454,200
virtuoso,minus,03,R,034,1,0.014123074943199754,200
virtuoso,minus,03,R,035,1,0.18118049704935402,200
virtuoso,minus,03,R,036,1,21.196304053999484,200
virtuoso,minus,03,R,037,1,0.08601311699021608,200
virtuoso,minus,03,R,038,1,0.029752761009149253,200
virtuoso,minus,03,R,039,1,0.08607176796067506,200
virtuoso,minus,03,R,040,1,0.015098365023732185,200
virtuoso,minus,03,R,041,1,0.06740227492991835,200
virtuoso,minus,03,R,042,1,0.01427952095400542,200
virtuoso,minus,03,R,043,1,0.014728626934811473,200
virtuoso,minus,03,R,044,1,0.10200005595106632,200
virtuoso,minus,03,R,045,1,0.0968152250861749,200
virtuoso,minus,03,R,046,1,0.12861522496677935,200
virtuoso,minus,03,R,047,1,0.07845791999716312,200
virtuoso,minus,03,R,048,1,0.015126756974495947,200
virtuoso,minus,03,R,049,1,0.034821503912098706,200
virtuoso,minus,03,R,050,1,0.012132935924455523,200
virtuoso,minus,03,R,051,1,0.014459800906479359,200
virtuoso,minus,03,R,052,1,0.2020023000659421,200
virtuoso,minus,03,R,053,1,21.502823639078997,200
virtuoso,minus,03,R,054,1,0.012262800941243768,200
virtuoso,minus,03,R,055,1,2.4700245750136673,200
virtuoso,minus,03,R,056,1,0.0826790559804067,200
virtuoso,minus,03,R,057,1,0.7200885530328378,200
virtuoso,minus,03,R,058,1,0.015099706943146884,200
virtuoso,minus,03,R,059,1,0.01743648003321141,200
virtuoso,minus,03,R,060,1,0.054151113028638065,200
virtuoso,minus,03,R,061,1,0.03651609900407493,200
virtuoso,minus,03,R,062,1,0.8228274449938908,200
virtuoso,minus,03,R,063,1,0.10496563697233796,200
virtuoso,minus,03,R,064,1,300.38583674794063,500
virtuoso,minus,03,R,065,1,0.017493259045295417,200
virtuoso,minus,03,R,066,1,0.027488184976391494,200
virtuoso,minus,03,R,067,1,300.4010455540847,500
virtuoso,minus,03,R,068,1,1.621115033980459,200
virtuoso,minus,03,R,069,1,0.7884749270742759,200
virtuoso,minus,03,R,070,1,0.8821139479987323,200
virtuoso,minus,03,R,071,1,0.014342602109536529,200
virtuoso,minus,03,R,072,1,1.6324183710385114,200
virtuoso,minus,03,R,073,1,0.0580301689915359,200
virtuoso,minus,03,R,074,1,0.180730442982167,200
virtuoso,minus,03,R,075,1,0.013303032028488815,200
virtuoso,minus,03,R,076,1,0.015621642000041902,200
virtuoso,minus,03,R,077,1,0.04272464301902801,200
virtuoso,minus,03,R,078,1,0.09498927602544427,200
virtuoso,minus,03,R,079,1,0.11456726503092796,200
virtuoso,minus,03,R,080,1,20.77712604100816,200
virtuoso,minus,03,R,081,1,302.9268065909855,500
virtuoso,minus,03,R,082,1,0.1457769189728424,200
virtuoso,minus,03,R,083,1,0.012122326996177435,200
virtuoso,minus,03,R,084,1,0.011798838037066162,200
virtuoso,minus,03,R,085,1,1.6104731429368258,200
virtuoso,minus,03,R,086,1,0.5341952090384439,200
virtuoso,minus,03,R,087,1,20.451945908018388,200
virtuoso,minus,03,R,088,1,0.013250191928818822,200
virtuoso,minus,03,R,089,1,0.012715224991552532,200
virtuoso,minus,03,R,090,1,0.027433293987996876,200
virtuoso,minus,03,R,091,1,0.012663225992582738,200
virtuoso,minus,03,R,092,1,0.047977463924326,200
virtuoso,minus,03,R,093,1,1.0306210749549791,200
virtuoso,minus,03,R,094,1,0.0796227470273152,200
virtuoso,minus,03,R,095,1,13.143309256061912,200
virtuoso,minus,03,R,096,1,0.15135153592564166,200
virtuoso,minus,03,R,097,1,0.037659748923033476,200
virtuoso,minus,03,R,098,1,300.39390378491953,500
virtuoso,minus,03,R,099,1,0.07224068802315742,200
virtuoso,minus,03,R,100,1,0.206108363927342,200
virtuoso,minus,03,R,001,2,0.028890014975331724,200
virtuoso,minus,03,R,002,2,3.8829813220072538,200
virtuoso,minus,03,R,003,2,0.3553597219288349,200
virtuoso,minus,03,R,004,2,0.1757497979560867,200
virtuoso,minus,03,R,005,2,1.0264217039803043,200
virtuoso,minus,03,R,006,2,0.4140020429622382,200
virtuoso,minus,03,R,007,2,0.17888172098901123,200
virtuoso,minus,03,R,008,2,0.0269528100034222,200
virtuoso,minus,03,R,009,2,4.664452325901948,200
virtuoso,minus,03,R,010,2,2.002608110080473,200
virtuoso,minus,03,R,011,2,0.02212441200390458,200
virtuoso,minus,03,R,012,2,0.012646164046600461,200
virtuoso,minus,03,R,013,2,0.8684538659872487,200
virtuoso,minus,03,R,014,2,0.012180375051684678,200
virtuoso,minus,03,R,015,2,0.014876300003379583,200
virtuoso,minus,03,R,016,2,8.215679886983708,200
virtuoso,minus,03,R,017,2,0.01169975707307458,200
virtuoso,minus,03,R,018,2,0.013056477066129446,200
virtuoso,minus,03,R,019,2,4.445883801905438,200
virtuoso,minus,03,R,020,2,0.012503143982030451,200
virtuoso,minus,03,R,021,2,0.14066282694693655,200
virtuoso,minus,03,R,022,2,0.012314095976762474,200
virtuoso,minus,03,R,023,2,0.026283646002411842,200
virtuoso,minus,03,R,024,2,0.015379349002614617,200
virtuoso,minus,03,R,025,2,0.02660956105682999,200
virtuoso,minus,03,R,026,2,0.03166501596570015,200
virtuoso,minus,03,R,027,2,0.014656403916887939,200
virtuoso,minus,03,R,028,2,0.012939194915816188,200
virtuoso,minus,03,R,029,2,0.03336718596983701,200
virtuoso,minus,03,R,030,2,2.7195764059433714,200
virtuoso,minus,03,R,031,2,0.014623121009208262,200
virtuoso,minus,03,R,032,2,0.014504849095828831,200
virtuoso,minus,03,R,033,2,0.03539316693786532,200
virtuoso,minus,03,R,034,2,0.01493551000021398,200
virtuoso,minus,03,R,035,2,0.17395911389030516,200
virtuoso,minus,03,R,036,2,20.522463455912657,200
virtuoso,minus,03,R,037,2,0.08575267891865224,200
virtuoso,minus,03,R,038,2,0.030518140993081033,200
virtuoso,minus,03,R,039,2,0.08867331699002534,200
virtuoso,minus,03,R,040,2,0.015277605969458818,200
virtuoso,minus,03,R,041,2,0.06927264493424445,200
virtuoso,minus,03,R,042,2,0.014359002001583576,200
virtuoso,minus,03,R,043,2,0.014492213958874345,200
virtuoso,minus,03,R,044,2,0.0999731159536168,200
virtuoso,minus,03,R,045,2,0.10011859296355397,200
virtuoso,minus,03,R,046,2,0.12998473306652158,200
virtuoso,minus,03,R,047,2,0.08141495508607477,200
virtuoso,minus,03,R,048,2,0.014980974956415594,200
virtuoso,minus,03,R,049,2,0.036477769957855344,200
virtuoso,minus,03,R,050,2,0.01245035300962627,200
virtuoso,minus,03,R,051,2,0.01447174500208348,200
virtuoso,minus,03,R,052,2,0.20493144600186497,200
virtuoso,minus,03,R,053,2,21.146662589977495,200
virtuoso,minus,03,R,054,2,0.011881869984790683,200
virtuoso,minus,03,R,055,2,2.3767348889959976,200
virtuoso,minus,03,R,056,2,0.08451432595029473,200
virtuoso,minus,03,R,057,2,0.6916797730373219,200
virtuoso,minus,03,R,058,2,0.015159440925344825,200
virtuoso,minus,03,R,059,2,0.017611276009120047,200
